Key:2015-01-10 22:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 23:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 24:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 01:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 02:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 03:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 04:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 05:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 06:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 07:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 08:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 09:00:00 {'diffuse_radiation': 28.0, 'direct_normal_radiation': 229.0}
Key:2015-01-11 10:00:00 {'diffuse_radiation': 56.0, 'direct_normal_radiation': 481.0}
Key:2015-01-11 11:00:00 {'diffuse_radiation': 80.0, 'direct_normal_radiation': 483.0}
Key:2015-01-11 12:00:00 {'diffuse_radiation': 86.0, 'direct_normal_radiation': 501.0}
Key:2015-01-11 13:00:00 {'diffuse_radiation': 75.0, 'direct_normal_radiation': 533.0}
Key:2015-01-11 14:00:00 {'diffuse_radiation': 60.0, 'direct_normal_radiation': 496.0}
Key:2015-01-11 15:00:00 {'diffuse_radiation': 38.0, 'direct_normal_radiation': 300.0}
Key:2015-01-11 16:00:00 {'diffuse_radiation': 13.0, 'direct_normal_radiation': 67.0}
Key:2015-01-11 17:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 18:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 19:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 20:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 21:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 22:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-11 23:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
